*applicable adj.適用的
*articulate v.清楚的表達
applicant n.申請人
artificial adj.人造的
application n.應用；申請書
*artillery n.大砲
apply v.應用；申請
artist n.藝術家；藝人
appoint v.任命；指派
artistic adj.藝術的
appointment n.約定；指派
as prep./adv./conj 如同；當…時；雖然
*appraisal n.評價
*ascertain v.查明
appreciate v.欣賞；感激
*ascribe v.把…歸因於
appreciation n.欣賞；感謝
ash n.灰燼；骨灰
*apprehension n.憂慮
ashamed adj.感到羞恥的
*apprentice n.學徒
aside adv.在旁邊；除…之外
approach n./v.接近；著手處理
ask v.詢問；要求
appropriate adj.適當的
asleep adj.睡著的
approval n.同意；認可
aspect n.方面；觀點
approve v.同意；認可
*aspiration n.願望
April n.四月
*aspirin n.阿斯匹靈
apron n.圍裙；工作裙
*aspiring adj.有抱負的
*apt adj.有…傾向的
*ass n.驢；蠢人
*aptitude n.資質
*assassinate v.行刺
*aquarium n.水族館
*assault n.攻擊
arch n.拱門；拱形
assemble v.集合
*archaeology n.考古學
assembly n.與會者；議會
architect n.建築師；設計師
*assertion n.紙張
architecture n.建築學；建築風格
*assertive adj.武斷的
*archive n.檔案
*assertively adv.武斷地
area n.區域；範圍
*asset n.資產
*arena n.活動場所(供運動、娛樂的)
assign(ment) v.(n.) 指派
argue(ment) v.(n.)爭論；主張
assist v.協助
arise v.升起；復活
assistance n.協助
arithmetic adj./n.算術的
assistant n.助理
arm n.手臂
associate v.關聯
armchair n.扶手椅
*associate n.夥伴
*armed adj.武裝的
association n.協會；聯想；合作
army n.軍隊；團體
assume v.假定；假裝
around prep./adv.各處；大約
assurance n.保證
arouse v.喚起
assure v.保證
arrange(ment) v.(n.) 安排
*astonish v.使驚訝
*array n.一長列
astronaut n.太空人
arrest v./n.逮捕；拘留
*astronomy n.天文學
arrival n.到達；到達者
*asylum n.庇護(所)
arrive v.到達；抵達
athlete n.運動員
*arrogant adj.傲慢的
athletic adj.運動的
arrow n.箭
atmosphere n.氣壓；氣氛
art n.藝術；藝術品
attach(ment) v.(n.) 裝上；附加
article n.文章；冠詞
attack v./n.攻擊
*attainment n.達到

attempt v./n.嘗試
attend v.參加
baby n.嬰兒；寶貝
*attendant n.服務員
*baby-sitter n.臨時保姆
attention n.注意力
*bachelor n.單身漢；學士
*attic n.閣樓
back adj./adv./n./v. 後面的；背部；贊助
attitude n.態度
background n.背景
attract v.吸引；引誘
backward(s) adv.反方向地
attraction n.吸引力
bacon n.燻豬肉；培根肉
attractive adj.有吸引力的
bacteria n.細菌
*auction n.拍賣
bad adj.不好的；有害的
audience n.觀眾；聽眾
*badminton n.羽毛球
*audio adj.可聽頻率的
bag n.袋子
*audio-visual adj.視聽的
baggage n.行李；裝備
*auditorium n.禮堂
*bail n.保釋(金)
August n.八月
bait n./v.誘餌；引誘
aunt n.姑媽；阿姨
bake v.烘；烤
*Australia prop./n.澳洲
bakery n.麵包店
author n.作者
balance n./v.平衡
authority n.權力；當局
balcony n.陽臺；樓座
*amobiography n.自傳
*bald adj.禿的
automatic adj.自動的
ball n.球；球狀體
*automatically adv.自動地
*ballad n.民謠
automobile/auto n.汽車
ballet n.芭蕾舞
*autonomy n.自治(權)
balloon n.氣球
autumn n.秋季
*ballot n.無記名投票
*availability n.有效
*ballroom n.舞廳
*avenge v.報…之仇
bamboo n.竹子
avenue n.大道
*ban v.禁止
average adj./n./v.平均的
banana n.香蕉
*aviation n.航空(學)
band n.帶子；樂團
avoid v.避免；躲開
bandage n.繃帶
await v.等候；期待
bank (1)n.銀行
awake adj./v.清醒的；喚醒
bank (2)n./v.堤；堆積
awaken v.意識到；使覺醒
*banker n.銀行家
*awaking adj 使人覺醒的
bankrupt adj./v./n.破產的
award v./n 授予；獎品
*banquet n.宴會
away adv.離開；不在
*baptism n.洗禮
awful adj.糟透的
bar n.棒；沙洲；酒吧
awkward adj.笨拙的；棘手的
*barbarian n.野蠻人
*awkwardly adv.笨拙地
barbecue n./v.烤肉
*ax n.斧頭
barber n.理髮師

*barbershop n. #9l$

bare adj.裸的；不加掩飾的

barely adv.勉強地；露骨地
bargain n./v.買賣；便宜貨
bedroom n.臥室
*bargaining n.議價
bee n.蜜蜂
bark n./v.吠叫；咆哮
beef n.牛肉
*barkeeper n.酒吧主人
beer n.啤酒
bam n.穀倉；牲口棚
before prep./adv./conj. 在…之前
barrel n.大桶
beg v.乞求；乞討
barrier n.障礙物；棚欄
beggar n.乞丐
*bartender n.酒保
begin v.開始
base n./v.基礎
beginner n.初學者
baseball n.棒球
*behalf n.為了…的利益；代表
*based adj.以…為基礎的
behave v.表現；行為舉止
basement n.地下室
behavior n.行為
basic adj.基本的
behind prep./adv.在…後面；落後
basin n.臉盆；洗滌槽
*behold v.見到
basket n.籃子；簍子
*Beijing n./prop.北京
basketball n.籃球
being n.存在；生物
*bass n.低音部
belief n.信念；信條
*bastard n.私生子；令人討厭的人
believe v.相信
bat n./v.球棒
bell n.鐘(聲)；鈴(聲)
bath n.澡缸；沐浴
belly n.腹部；胃
bathe v.洗澡；沐浴
belong v.歸屬於
bathroom n.浴室
*belongings n.所有物
*bathtub n.浴缸
*beloved n.所愛的人
*batter v.毀損
below prep./adv.在…下方
battery n.電池
belt n.腰帶；帶狀物
battle n./v.戰役
bench n.長板凳
*battlefield n.戰場
bend n./v.彎曲
bay n.海灣
beneath prep.在…下面
*BBC n 英國廣播公司
*beneficial adj.有益的
*B.C. n.西元前
benefit n./v.利益；有益於
beach n.海灘
berry n.果
beam n.樑；光束
beside prep.在旁邊
bean n.豆子
besides prep./adv.除此之外
bear n.熊；魯莽之人
*besiege v.包圍
bear v.承受；忍受
best adj./adv.最好的
beard n.(下巴上的)鬍鬚
*bestseller n.暢銷品
beast n.野獸
bet n./v.打賭
beat n./v.敲擊；打敗
better adj./adv.更好的
beautiful adj.美麗的
between prep./adv.介於…之間
*beautify v.美化
*beverage n.飲料
beauty n.美人
*beware v.當心
because conj.因為
*bewilder v.使混亂
*beckon v.召喚
beyond prep./adv.在遠處
become v.變成
*bias n.成見
bed n.床
*Biblical adj.聖經的
bicycle/bike n.腳踏車
bloom n./v.花；開花
*bid v.出價；吩咐
*blossom n.花(叢)
big adj.大的
blow n./v.吹；吹氣；打擊
*bikini n.三點式泳裝
blue adj./n.藍色的
bill n.帳單；鈔票
*blueprint n.藍圖
billion n.十億；大量
*blues n.勃魯斯音樂；沮喪
*billionaire n.億萬富翁
*bluff n.虛張聲勢
bind v.捆；綁
*blunder n.愚蠢的錯誤
bingo n.賓果遊戲
*blur v.使模糊
*binomial adj.〔數〕二項式
blush v./n.臉紅
*biochemistry n.生物化學
board n.木板；牌子
biography n.傳記
board v.登上(船或車等)
*biological adj.生物(學)的
boast v.自吹自擂；誇耀
biology n.生物學
boat n./v.小船；划船
bird n.鳥
*bodily adj.身體的
birth n.出生；分娩
body n.身體；主要部分
biscuit n.小麵包；餅乾
*bodyguard n.侍衛
*bishop n.主教
boil v./n.沸騰
bite n./v.一口之量；咬
bold adj.英勇的；大膽的
bitter adj.有苦味的；痛苦的
*boldly adv.大膽地
*bitterly adv.酷寒的
*bolt n.螺栓；閃電
*bitterness n.苦；悲傷
bomb n./v.炸彈；轟炸
*biweekly adj./adv. 兩週一次的(地)
bond n.聯結；契約；債券
*bizarre adj.古怪的
bone n.骨頭；骨質
black adj./n.黑的
*bonus n.紅利
blackboard n.黑板
book n.書籍
blame n./v.責備；歸咎於…
book v.預訂；登記
*blameworthy adj.應受責備的
bookcase n.書架；書櫥
*bland adj.溫和的
*bookstore n.書店
blank adj./n.空白的
*boom n.隆隆聲；景氣
blanket n.毛毯
*boost v.提升
*blast n.一陣疾風
boot n.(長筒)靴
*blaze n.烈火；光輝
*booth n.售貨棚
*bleak adj.陰冷(鬱)的
border n./v.邊界；比鄰
bleed v.流血
bore n./v.使厭煩
blend v.使混合
bored adj.感到厭煩的
bless v./n.為…祝福
boring adj.令人厭煩的
blessing n.賜福；同意
born adj.出生的
blind adj./v.瞎的；使看不見
borrow v.借入
*blink v.眨眼；漠視
boss n.老闆
*bloc n.政治集團
*botany n.植物學
block n./v.塊；障礙物；堵住
both adj./adv./pron.兩者皆
*blonde n.金髮白種人
bother v./n.打擾；煩惱
blood n.血液
bottle n./v.瓶子；把…裝瓶
bloody adj.血腥的
*boulevard n.林蔭大道
bounce n./v.跳，躍；使反彈
*Briton n.英國人
*bound adj.很有可能的；準備前往…的
broad adj.寬廣的；概括的
bow (1) n.弓；虹；蝴蝶結
*broaden v.加寬
bow (2) v.拉彎；彎曲；鞠躬
broadcast n./v.廣播；播放
bowl n.碗
*brochure n.小冊子
bowling n.保齡球
*broker n.經紀人
box n./v.箱，盒；把…裝箱
*brood n.一窩
*boxing n.拳擊
brook n.小河
boy n.男孩；少年
brother n.兄弟
*boycott v.抵制
brown adj./n.棕色的
*brace n.支撐物
*browse v 噹食；瀏覽
brain n.腦袋；智力
brush n./v.刷子；刷
brake n./v.煞車
brutal adj.殘忍的
branch n./v.樹枝；分支
*brutality n.野蠻
brand n.商標；烙印
bubble n.氣泡；泡影
brave adj.勇敢的
buck/dollar n.(美)元
bravery n.勇敢；勇氣
bucket n.水桶；桶狀物
*breach v.違犯
bud n./v.芽；發芽
bread n.麵包
*Buddha n.佛陀
break n./v.打破；破曉
*Buddhism n.佛教
*breakdown n.故障
budget n./v.預算
breakfast n./v.早餐
*buffalo n.水牛
*breakthrough n 突破
buffet n.自助餐；快餐
*break-up n.瓦解
*buffet v.打擊
breast n.胸部
bug n.蟲子
breath n.呼吸
build v.建造
breathe v.呼吸
building n.建築物
*breathtaking adj.使人興奮的
*bulb n. 球莖(根)
breed n./v.繁衍；滋生
*bulk n.大量
*breeder n.繁殖者
bull n.(未閹割的) 公牛
breeze n./v.微風；和風
bullet n.子彈
*brew v.沖泡；醞釀
bulletin n.公報；新聞快報
brick n.磚
*bully n.恃強凌弱者
bride n.新娘子
bump v./n.碰；重擊
*bridegroom n.新郎
*bun n.小圓甜麵包；髮髻
bridge n./v.橋樑；艦橋
bunch n.一束；一群
brief adj./n./v.簡短的
bundle n.捆；包裹
*briefcase n.公事包
*bunk n.臥鋪
*briefmg n.簡報
*bunker n.媒倉；掩體
*brigade n.旅；隊
burden n./v.負擔；加負擔於…
bright adj.明亮的；聰明的
bureau n.局；處；署
*brighten v.照亮
*bureaucracy n.官僚
brilliant adj.光輝的；傑出的
*burglar n.竊賊
bring v.帶來；引起
burn v./n.燃燒；燒傷
*brisk adj.輕快的
burst v./n.爆發；爆炸
bury v.埋
cap n./v.帽子；覆蓋
bus n.巴士
capable adj.有能力的
bush n.灌木叢
capacity n.容量；能力
business n.商業；交易
cape n 披肩；海角
*businesslike adj.處事務實的
capital adj./n.主要的；首都；資本
busy adj./v.忙碌的
capital(ism) n.資本主義(制度)
*butcher n.肉商
*capitalist n.資本家
butter n./v.奶油；塗奶油於
*capitol n.美國州議會大廈
butterfly n.蝴蝶
captain n.隊長；船(艦)長
button n./v.鈕扣；按鈕
*caption n.說明文字
buy v.買
*captive adj.被俘虜的
*captivity n.囚禁

capture v./n.捕獲；獲物
cab n.計程車
*carbon n. 碳
cabbage n.甘藍菜
card n.卡片；紙牌遊戲
cabin n.客艙
*cardinal n.紅衣主教
cabinet n.櫥櫃；密室
care n./v.關心；照顧
cable n./v.電纜；有線電視
career n.職業
cafe n.咖啡店；咖啡
*carefree adj.無憂無慮的
cafeteria n.自助餐館
careful adj.仔細的
cage n./v.籠子；監牢
careless adj.粗心大意的
cake n.蛋糕
*caress v.愛撫
calculate v.計算
cargo n.貨物
calculation n.計算
*carnival n.嘉年華會
calculator n.計算機
*carp n.鯉魚
calendar n.日曆；行事曆
carpenter n.木匠
*calf n.小牛
carpet n.地毯
call n./v. 呼叫；打電話
carriage n.四輪馬車；運輸
calm adj./v. 鎮靜的
carrier n.運送人；航空母艦
*calorie n.卡路里
carrot n.胡蘿蔔
camel n.駱駝
carry v.運送；攜帶
camera n.照相機
cart n./v.貨車；載運
camp n./v.營地；露營
cartoon n.卡通；連環漫畫
campaign n./v.競選活動；戰役
carve v.雕刻；開拓
campus n.(大學的) 校園
case (1) n.事實；實例
can n./v.罐頭；金屬容器
case (2) n./v.容器；把…裝入箱中
*canal n.運河
cash n./v.現金
cancel v.取消
*cashier n.出納員
cancer n.惡性腫瘤；癌症
*casino n.賭場
candidate n.候選人
cassette n.卡式磁帶
candle n.蠟燭
cast n./v.投；演員陣容
candy n.糖果
*caste n.種姓(制度)
cane n.藤條；甘蔗
castle n.城堡
canvas n 帆布
casual adj.偶然的；碰巧的
canyon n.峽谷
*casually adv.漫不經心的
*casualty n.傷亡者
champion n.優勝者；戰士
*catalogue n.目錄
championship n.冠軍稱號；錦標賽
*catastrophe n.災難
chance n./v.偶然；機會
catch v./n.抓住；捕獲
*Chancellor n.司法官
*catcher n.捕捉者
*changeable adj.易變的
*cater v.承包伙食
channel n./v.海峽；溝渠
*caterpillar n.毛蟲
*chaos n.無秩序狀態
cattle n.牛；牲口
chapter n.章，回
*causal adj.具有因果關係的
character n.性格；特質
cause n./v.導致；原因
characteristic adj./n.特有的；特性
*caution n.謹慎
charge n./v.索價；控告
*cautious adj.小心的
*charitable adj.仁慈的
*cautiously adv.小心地
*charity n.慈善團體
*cavalry n.騎兵(隊)
charm nJv.魅力；使陶醉
cave n.洞穴
charming adj.有魅力的
*CD n.(=compact disc)光碟
chart n./v.圖表
cease v.停止
chase v./n.追逐
*ceasefire n.停火協定
chat v./n.聊天
ceiling n.天花板
*chatterbox n、喋喋不休的人
celebrate v.慶祝
cheap adj.便宜的
celebration n 慶祝
cheat v./n.作弊；欺騙
*celebrity n.名人(聲)
check n./v.支票；檢查
cell n.小囚房；細胞
*checkbook n.支票簿
*cellar n.地窖
*check-in n.登記手續
*cemetery n.墓地
*check-out n.檢查；付款退租
*census n.調查
*checkup n.檢查
cent n.一分錢
cheek n.臉頰
center n./v.使集中；核心
cheer n./v.歡呼；激勵
*centigrade adj./n.攝氏(的)
cheerful adj.興高采烈的
central adj.中央的；核心的
*cheerleader n.啦啦隊隊長
century n.世紀
*cheers interj.乾杯
*ceramic adj.陶器(藝)的
cheese n.乳酪；乾酪
cereal n.玉蜀黍薄片
*chef n.主廚
*ceremonious adj.拘泥形式的
chemical adj./n.化學的
ceremony n.典禮；禮儀
*chemist n.化學家
certain adj.確信的
chemistry n.化學；化學作用
*certificate n.證書
cherish v.珍惜
chain n./v.鏈條；束縛
cherry n.櫻桃
chair n.椅子
chess n.西洋棋
*chairwoman n.女主席
*chessboard n.西洋棋棋盤
chalk n.白堊；粉筆
chest n.胸膛；箱子
challenge n./v.挑戰
chew v./n.咀嚼；深思
*challenging adj.富有挑戰性的
chick n.小雞；少婦
chamber n.房間；室
chicken n.雞肉；膽小鬼
*champagne n.香檳
chief adj./n.主要的；首領
child n.小孩子
clash n./v.衝突；發出鏗鏘聲
*childbirth n.分娩
class n./v.階級；班級
*childcare n.照料小孩
classic adj./n.經典的；名著
childhood n.童年時期
classical adj.極好的；古典的
childish adj.孩子氣的
*classification n.分類
*childlike adj.天真無邪的
*classmate n.同班同學
children n. [pl.]小孩子
*classroom n.教室
*chill v./adj.(使)變冷；寒冷的
*clause n.子句；條款
chilly adj. 冷颼颼的
claw n.爪子；鉗；贅
chimney n.煙囪
clay n.黏土；泥土
*chimpanzee n.黑猩猩
clean adj./adv./v.乾淨的
chin n.下巴
*cleaner n.清潔工(劑)
china n.瓷器
*cleaning n.掃除
chip n./v.晶片；削
*cleanse v.使清潔
*chlorine n.氯(氣)
clear adj./v.清楚的
chocolate n.巧克力
*clergyman n.神職人員；牧師
choice n./adj.選擇
clerk n.店員
*choir n.合唱隊
clever adj.伶俐的；機敏的
choke v./n.窒息；阻塞
*click v.使發出聲
*cholesterol n.膽固醇
client n.客戶
choose v.選擇
cliff n.懸崖
chop v./n.劈；肋排肉
climate n.氣候；風氣
chopstick(s) n.筷子
climax n.高潮
chorus n.合唱隊
climb v.攀爬
*Christianity n.基督教
*clinic n.診所
*chronic adj.慢性的
*clip v.修剪；夾住
*chunk n.厚塊
clock n.時鐘
church n.教堂
*clockwise adj.順時針方向的
